ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
21601387	2036925	5	5
21601387	2036931	4	4
21601387	2036934	4	4
21601387	2036940	6	6
21601387	2036942	6	6
21601387	2036950	6	6
21601387	2036953	5	5
21601387	2036955	5	5
21601387	2036960	5	5
21601387	2036961	6	6
21601387	2036965	4	4
21601387	2036970	4	4
21601387	2036972	4	4
21601387	2036980	4	4
21601387	2036984	4	4
21601387	2039863	6	7
21601387	2042279	5	6
21601387	2044606	6	7
21601387	2044611	4	4
21601387	2045261	4	4
21601387	2045262	4	4
21601387	2045929	5	6
21601387	2045932	4	4
21601387	2045935	6	7
21601387	2046102	6	7
21601387	2046103	6	7
21601387	2046104	5	6
21601387	2046157	6	7
21601387	2046159	5	6
21601387	2046161	4	4
21601387	2046472	5	5
21601387	2046473	6	6
21601387	2046530	5	6
21601387	2046535	6	7
21601387	2046536	5	7
21601387	2046539	6	8
21601387	2046540	5	7
21601387	2046543	6	8
21601387	2046544	5	7
21601387	2046546	5	6
21601387	2046549	4	4
21601387	2046552	4	4
21601387	2046556	4	5
21601387	2046558	4	6
21601387	2046559	4	6
21601387	2046562	4	6
21601387	2053886	6	7
21601387	2058232	4	4
21601387	2058255	6	7
21601387	2058657	6	7
21601387	2059235	4	4
21601387	2059237	6	7
21601387	2059239	6	7
21601387	2059286	6	7
21601387	2059287	6	7
21601387	2059288	6	7
21601387	2059292	6	7
21601387	2059293	6	7
21601387	2059298	4	5
21601387	2059299	4	5
21601387	2059303	5	6
21601387	2059660	5	5
21601387	2059665	4	4
21601387	2059668	4	4
21601387	2061455	5	6
21601387	2061456	4	4
21601387	2062146	4	4
21601387	2062148	4	4
21601387	2062390	6	7
21601387	2062392	5	6
21601387	2062399	4	4
21601387	2062400	4	4
21601387	2062403	4	4
21601387	2062404	4	5
21601387	2062455	4	4
21601387	2064035	5	6
21601387	2064037	5	6
21601387	2064039	4	4
21601387	2064045	6	7
21601387	2064051	6	7
21601387	2064056	6	7
21601387	2064058	6	7
21601387	2064061	4	4
21601387	2064067	5	6
21601387	2064071	6	7
21601387	2064073	6	7
21601387	2064079	6	7
21601387	2064083	6	7
21601387	2064085	6	7
21601387	2064087	5	6
21601387	2064088	6	7
21601387	2064089	5	6
21601387	2064091	5	6
