concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
37171447,Primary malignant neoplasm of right orbit,Condition,SNOMED,Disorder,S,352711000119104,20230731,20991231,
37171448,Primary malignant neoplasm of left orbit,Condition,SNOMED,Disorder,S,352721000119106,20230731,20991231,
37171449,Primary malignant neoplasm of bone of left foot,Condition,SNOMED,Disorder,S,352981000119107,20230731,20991231,
37171450,Primary malignant neoplasm of bone of right foot,Condition,SNOMED,Disorder,S,353001000119106,20230731,20991231,
37171452,Extramedullary plasmacytoma in remission,Condition,SNOMED,Disorder,S,353211000119103,20220430,20991231,
37171453,Primary malignant neoplasm of right eye,Condition,SNOMED,Disorder,S,353391000119102,20230731,20991231,
37171459,Primary malignant neoplasm of right ciliary body,Condition,SNOMED,Disorder,S,353771000119104,20230731,20991231,
37171469,Primary malignant neoplasm of left ciliary body,Condition,SNOMED,Disorder,S,354261000119103,20230731,20991231,
37171472,Primary malignant neoplasm of right lacrimal gland,Condition,SNOMED,Disorder,S,354401000119103,20230731,20991231,
37171474,Primary malignant neoplasm of left lacrimal gland,Condition,SNOMED,Disorder,S,354441000119101,20230731,20991231,
37171477,Primary malignant neoplasm of left scapula,Condition,SNOMED,Disorder,S,354661000119100,20230731,20991231,
37171478,Primary malignant neoplasm of right scapula,Condition,SNOMED,Disorder,S,354691000119107,20230731,20991231,
37171700,Malignant melanoma of skin of left elbow,Condition,SNOMED,Disorder,S,409178361000119104,20230731,20991231,
37171871,Primary basal cell carcinoma of skin of left foot,Condition,SNOMED,Disorder,S,428487561000119102,20220430,20991231,
37172171,Malignant neoplasm of breast in remission,Condition,SNOMED,Disorder,S,45061000087102,20230531,20991231,
37172725,Primary squamous cell carcinoma of skin of right foot,Condition,SNOMED,Disorder,S,684579951000119109,20230731,20991231,
37172812,Malignant neoplasm in full remission,Condition,SNOMED,Disorder,S,550991000124107,20220301,20991231,
