SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
JH,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,8961,thousand per cubic millimeter,10*3/mm3,UCUM,Unit,S,3,65912,0.0046,1,24367,0.0041,9/19/2025
JH,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,9444,billion per liter,10*9/L,UCUM,Unit,S,1,65912,0.0015,1,24367,0.0041,9/19/2025
DFCI,3013466,aPTT in Blood by Coagulation assay,3173-2,LOINC,Measurement,S,0,(NULL/0),,,,,6,1231332,0.0005,6,91454,0.0066,9/22/2025
JH,3013466,aPTT in Blood by Coagulation assay,3173-2,LOINC,Measurement,S,0,(NULL/0),,,,,260,473079,0.055,238,71511,0.3328,9/19/2025
DFCI,3013466,aPTT in Blood by Coagulation assay,3173-2,LOINC,Measurement,S,8555,second,s,UCUM,Unit,S,615663,1231332,49.9998,91452,91454,99.9978,9/22/2025
JH,3013466,aPTT in Blood by Coagulation assay,3173-2,LOINC,Measurement,S,8555,second,s,UCUM,Unit,S,472819,473079,99.945,71504,71511,99.9902,9/19/2025
DFCI,3013466,aPTT in Blood by Coagulation assay,3173-2,LOINC,Measurement,S,9639,siemens,S,UCUM,Unit,S,615663,1231332,49.9998,91452,91454,99.9978,9/22/2025
DFCI,3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,2857-1,LOINC,Measurement,S,0,(NULL/0),,,,,3177,89218,3.5609,3104,25439,12.2017,9/22/2025
JH,3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,2857-1,LOINC,Measurement,S,0,(NULL/0),,,,,302,98319,0.3072,245,24682,0.9926,9/19/2025
FH,3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,2857-1,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,690,126294,0.5463,274,25058,1.0935,9/19/2025
DFCI,3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,2857-1,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,86041,89218,96.4391,24857,25439,97.7122,9/22/2025
