ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
443392	197810	2	3
443392	37169734	4	6
443392	45771026	4	9
443392	4299142	7	9
443392	37165827	3	9
443392	37016571	5	9
443392	36717259	5	6
443392	3654650	5	5
443392	36717489	3	8
443392	37165853	4	6
443392	37171440	5	6
443392	37167601	3	4
443392	37160407	4	6
443392	603310	4	9
443392	37159984	4	7
443392	40492985	6	6
443392	37167631	2	4
443392	321526	4	4
443392	4112609	3	6
443392	37166616	5	6
443392	35622696	5	5
443392	4110880	4	6
443392	37166218	4	7
443392	42538151	3	3
443392	40486656	2	5
443392	600661	5	5
443392	140955	5	5
443392	4197583	4	7
443392	37166274	5	10
443392	37171435	5	6
443392	35623630	4	4
443392	37165800	4	6
443392	607976	2	5
443392	40382439	3	3
443392	37166783	4	7
443392	37165445	3	6
443392	372849	3	3
443392	603116	4	6
443392	37166578	4	4
443392	4297672	3	6
443392	35614875	3	6
443392	37166788	5	9
443392	36716775	6	6
443392	37162702	3	7
443392	4092513	3	3
443392	37166751	3	6
443392	4220181	5	8
443392	4297189	3	4
443392	37168000	5	7
443392	37166633	2	2
443392	37166365	4	8
443392	37167842	6	7
443392	37171438	5	6
443392	37166604	5	7
443392	37166774	4	6
443392	199754	4	5
443392	36717175	3	6
443392	37166269	4	9
443392	37169372	4	8
443392	36716612	4	6
443392	318697	5	6
443392	37169849	4	7
443392	36717173	5	7
443392	4294416	4	5
443392	4313043	4	5
